algorithm,params,cluster_count,noise_ratio,min_cluster_size,sample_count,valid,silhouette_score,davies_bouldin_index,calinski_harabasz_score,objective_score
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 10, ""min_samples"": 5}",32,0.4035714285714286,10,2240,True,0.326398842050898,0.6760671107446863,745.2760695100251,0.16787785604536273
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 10, ""min_samples"": 10}",5,0.2767857142857143,10,2240,True,0.36190859067186065,0.5232091089450507,1191.5039953165208,0.24208636507594958
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 10, ""min_samples"": 20}",4,0.4111607142857143,22,2240,True,0.5195633170395476,0.5083527809900374,3165.755761632194,0.43232725446184495
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 20, ""min_samples"": null}",4,0.4111607142857143,22,2240,True,0.5195633170395476,0.5083527809900374,3165.755761632194,0.43232725446184495
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 20, ""min_samples"": 5}",10,0.2705357142857143,21,2240,True,0.2629325728656013,0.7869206964509281,1083.7179392185355,0.15401490443756552
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 20, ""min_samples"": 10}",4,0.3767857142857143,41,2240,True,0.4572496684109395,0.5962582324163463,3433.3828146364076,0.39396594757827924
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 20, ""min_samples"": 20}",4,0.4111607142857143,22,2240,True,0.5195633170395476,0.5083527809900374,3165.755761632194,0.43232725446184495
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 35, ""min_samples"": null}",3,0.42098214285714286,60,2240,True,0.5626817783758233,0.45422343174712515,4905.008662588421,0.48146076680406935
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 35, ""min_samples"": 5}",5,0.3254464285714286,37,2240,True,0.4481468530203483,0.655190391395736,2183.744255917357,0.38281131602975993
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 35, ""min_samples"": 10}",4,0.3767857142857143,41,2240,True,0.4572496684109395,0.5962582324163463,3433.3828146364076,0.39396594757827924
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 35, ""min_samples"": 20}",3,0.42098214285714286,55,2240,True,0.5493088750325228,0.4580024433638858,4633.101191531182,0.4696037216817406
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 50, ""min_samples"": null}",2,0.3370535714285714,580,2240,True,0.6747407095846977,0.44393190235300717,5313.891056549778,0.5805953378822093
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 50, ""min_samples"": 5}",2,0.20803571428571432,731,2240,True,0.6095446540855871,0.5423500690206335,4555.435646811933,0.5518397625232104
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 50, ""min_samples"": 10}",3,0.3285714285714286,123,2240,True,0.5258455112143218,0.5428515836749562,4235.240687284274,0.46404675290601594
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 50, ""min_samples"": 20}",3,0.42098214285714286,55,2240,True,0.5493088750325228,0.4580024433638858,4633.101191531182,0.4696037216817406
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 75, ""min_samples"": null}",2,0.3700892857142857,548,2240,True,0.7026934259010081,0.4093719671707994,6042.4387584972055,0.6020367667217554
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 75, ""min_samples"": 5}",2,0.20803571428571432,731,2240,True,0.6095446540855871,0.5423500690206335,4555.435646811933,0.5518397625232104
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 75, ""min_samples"": 10}",3,0.3285714285714286,123,2240,True,0.5258455112143218,0.5428515836749562,4235.240687284274,0.46404675290601594
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 75, ""min_samples"": 20}",2,0.3263392857142857,588,2240,True,0.6609580341337049,0.46358614901128553,4970.673953710251,0.5685579539967787
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 100, ""min_samples"": null}",2,0.3633928571428572,557,2240,True,0.7010737773412365,0.4119854715150329,6076.653028876905,0.6026719174152928
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 100, ""min_samples"": 5}",2,0.20803571428571432,731,2240,True,0.6095446540855871,0.5423500690206335,4555.435646811933,0.5518397625232104
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 100, ""min_samples"": 10}",3,0.3285714285714286,123,2240,True,0.5258455112143218,0.5428515836749562,4235.240687284274,0.46404675290601594
HDBSCAN,"{""pca_components"": 2, ""min_cluster_size"": 100, ""min_samples"": 20}",2,0.3263392857142857,588,2240,True,0.6609580341337049,0.46358614901128553,4970.673953710251,0.5685579539967787
KMeans,"{""pca_components"": 3, ""n_clusters"": 2, ""n_init"": 10}",2,0.0,1109,2240,True,0.48439576194830963,0.7909939355304345,2958.2388841523016,0.4840269297656051
KMeans,"{""pca_components"": 3, ""n_clusters"": 2, ""n_init"": 25}",2,0.0,1109,2240,True,0.48439576194830963,0.7909939355304345,2958.2388841523016,0.4840269297656051
GaussianMixture,"{""pca_components"": 3, ""n_components"": 2, ""covariance_type"": ""full""}",2,0.0,900,2240,True,0.45144799181860235,0.7969349568072068,2460.602211442415,0.4571730093317112
GaussianMixture,"{""pca_components"": 3, ""n_components"": 2, ""covariance_type"": ""tied""}",2,0.0,1011,2240,True,0.4723192055682472,0.7938896169654233,2784.2889616305283,0.47421234826225905
GaussianMixture,"{""pca_components"": 3, ""n_components"": 2, ""covariance_type"": ""diag""}",2,0.0,849,2240,True,0.4429096671739262,0.7871666749633001,2375.303471281174,0.45153054359609057
AgglomerativeClustering,"{""pca_components"": 3, ""n_clusters"": 2, ""linkage"": ""ward""}",2,0.0,940,2240,True,0.45079356045965024,0.8137808435594356,2457.7084318955995,0.4554265298900659
AgglomerativeClustering,"{""pca_components"": 3, ""n_clusters"": 2, ""linkage"": ""complete""}",2,0.0,1048,2240,True,0.47012587805679373,0.8038119940950332,2779.6522065060944,0.471973717939963
AgglomerativeClustering,"{""pca_components"": 3, ""n_clusters"": 2, ""linkage"": ""average""}",2,0.0,3,2240,True,0.4848022889593811,0.6159534983075515,17.016329004383934,0.3699990732404752
KMeans,"{""pca_components"": 3, ""n_clusters"": 3, ""n_init"": 10}",3,0.0,562,2240,True,0.41307348366674645,1.0033583615542128,2517.406506804167,0.4184622837194536
KMeans,"{""pca_components"": 3, ""n_clusters"": 3, ""n_init"": 25}",3,0.0,552,2240,True,0.41310524576068935,1.0019462077786685,2517.456787897312,0.418571457888581
GaussianMixture,"{""pca_components"": 3, ""n_components"": 3, ""covariance_type"": ""full""}",3,0.0,661,2240,True,0.3784355429526749,1.05196734372797,2218.813202475185,0.39000553253364195
GaussianMixture,"{""pca_components"": 3, ""n_components"": 3, ""covariance_type"": ""tied""}",3,0.0,472,2240,True,0.42040045295513256,0.989349407875741,2469.820860930715,0.4236277288636051
GaussianMixture,"{""pca_components"": 3, ""n_components"": 3, ""covariance_type"": ""diag""}",3,0.0,676,2240,True,0.38797474576096086,1.024633920902539,2343.730673635845,0.39910000413387947
AgglomerativeClustering,"{""pca_components"": 3, ""n_clusters"": 3, ""linkage"": ""ward""}",3,0.0,584,2240,True,0.4018077121933213,1.0296337055244829,2344.6928744320835,0.40779687679227405
AgglomerativeClustering,"{""pca_components"": 3, ""n_clusters"": 3, ""linkage"": ""complete""}",3,0.0,161,2240,True,0.3397766679792458,1.1079430074722012,1701.1602414676759,0.3564654685075541
